tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s
366158,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2486152,248726,10564,-19233,-1649,27710
366160,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-171712,2492909,0,50327,29667
366160,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2484284,248568,13640,-18462,-1552,31769
366162,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-166794,2496163,0,48778,33500
366162,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2482520,248422,17115,-17339,-1430,35745
366162,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2164989,-249991,-1249956,1500,173,885
366164,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-162044,2499796,0,47070,37264
366164,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2480889,248289,20982,-15952,-1289,39637
366164,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2164622,-249949,-1249721,4366,504,2869
366166,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-157473,2503801,0,45242,40972
366166,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2479411,248171,25233,-14367,-1138,43451
366166,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2163997,-249877,-1249249,6831,786,5389
366168,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-153092,2508173,0,43324,44634
366168,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2478104,248069,29859,-12634,-979,47201
366168,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2163179,-249784,-1248471,8551,976,8646
366170,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-148908,2512908,0,41339,48260
366170,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2476978,247984,34857,-10789,-817,50897
