tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s,render_offset_mm,render_offset_deg
1579566,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-110252,2653074,0,3527,109930,0,0
1579568,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-110064,2664330,0,1333,113434,0,0
1579570,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-110043,2675936,0,194,116936,0,0
1579572,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-110023,2687892,0,200,120436,0,0
1579574,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-110002,2700198,0,206,123936,0,0
1579576,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-109981,2712854,0,212,127436,0,0
1579578,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-109960,2725860,0,218,130936,0,0
1579580,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-109937,2739217,0,223,134436,0,0
1579582,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-109915,2752923,0,229,137936,0,0
1579584,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-109891,2766874,0,232,139336,0,0
1579586,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-109868,2780755,0,230,138636,0,0
1579588,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-109845,2794566,0,229,137936,0,0
1579590,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-109822,2808307,0,228,137236,0,0
1579592,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-109800,2821978,0,227,136536,0,0
1579594,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-109777,2835579,0,226,135836,0,0
1579596,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-109755,2849110,0,225,135136,0,0
1579598,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-109732,2862571,0,223,134436,0,0
1579600,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-109710,2875962,0,222,133736,0,0
1579602,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-109688,2889283,0,221,133036,0,0
