tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s,render_offset_mm,render_offset_deg
1574624,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574624,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-240952,2488881,0,25426,-17162,0,0
1574626,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574626,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574626,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-238104,2487215,0,29495,-16443,0,0
1574628,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574628,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574628,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-234858,2485661,0,33435,-15199,0,0
1574630,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574630,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574630,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-231232,2484269,0,37179,-13452,0,0
1574632,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574632,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574632,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-227251,2483087,0,40664,-11232,0,0
1574634,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574634,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574634,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-222945,2482161,0,43828,-8576,0,0
1574636,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574636,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574636,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-218350,2481529,0,46620,-5529,0,0
1574638,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574638,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574638,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-213508,2481229,0,48989,-2144,0,0
1574640,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574640,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574640,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-208463,2481287,0,50897,1520,0,0
1574642,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574642,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574642,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-203264,2481729,0,52311,5403,0,0
1574644,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574644,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574644,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-197963,2482572,0,53205,9437,0,0
