tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s,render_offset_mm,render_offset_deg
1563960,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2502869,245755,22704,-635,-13352,16194,0,0.0000
1563962,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563962,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2502800,244246,24521,-702,-15670,18818,0,0.0000
1563964,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563964,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2502725,242505,26599,-769,-17990,21439,0,0.0000
1563966,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563966,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2502643,240532,28940,-837,-20308,24062,0,0.0000
1563968,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563968,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2502554,238328,31543,-906,-22624,26687,0,0.0000
1563970,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563970,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2502458,235892,34408,-978,-24935,29315,0,0.0000
1563972,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563972,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2502355,233225,37537,-1050,-27243,31945,0,0.0000
1563974,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563974,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2502244,230328,40929,-1125,-29548,34579,0,0.0000
1563976,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563976,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2502126,227201,44585,-1200,-31849,37216,0,0.0000
1563978,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563978,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2502000,223843,48504,-1278,-34146,39855,0,0.0000
1563980,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563980,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2501867,220257,52688,-1356,-36441,42496,0,0.0000
1563982,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563982,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2501725,216440,57136,-1435,-38734,45140,0,0.0000
1563984,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563984,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2501576,212395,61848,-1515,-41025,47785,0,0.0000
1563986,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563986,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2501418,208121,66825,-1595,-43314,50431,0,0.0000
1563988,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563988,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2501252,203618,72067,-1676,-45601,53079,0,0.0000
1563990,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563990,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2501079,198886,77573,-1758,-47888,55728,0,0.0000
1563992,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563992,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2500897,193926,83345,-1840,-50173,58377,0,0.0000
1563994,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563994,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2500707,188738,89381,-1922,-52458,61027,0,0.0000
1563996,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563996,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2500508,183320,95683,-2004,-54742,63678,0,0.0000
1563998,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1563998,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2500302,177675,102249,-2087,-57026,66329,0,0.0000
1564000,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1564000,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2500087,171801,109081,-2170,-59309,68981,0,0.0000
1564002,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1564002,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2499864,165698,116177,-2252,-61611,71616,0,0.0000
1564004,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1564004,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2499632,159362,123535,-2334,-63946,74223,0,0.0000
1564006,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1564006,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2499393,152792,131152,-2415,-66289,76822,0,0.0000
1564008,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1564008,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2499145,145988,139030,-2496,-68622,79431,0,0.0000
1564010,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1564010,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2498889,138950,147168,-2578,-70969,82028,0,0.0000
1564012,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1564012,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2498626,131677,155565,-2659,-73324,84617,0,0.0000
1564014,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1564014,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2498354,124168,164222,-2741,-75667,87216,0,0.0000
1564016,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1564016,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2498073,116427,173139,-2823,-78001,89824,0,0.0000
1564018,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1564018,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2497785,108451,182316,-2904,-80352,92417,0,0.0000
1564020,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1564020,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9305de133da,ACTIVE,2497488,100238,191751,-2985,-82714,94999,0,0.0000
1564022,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d76c-a53d-76a2-8c24-b9355d75a8b0,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
