tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s,render_offset_mm,render_offset_deg
1578526,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-250000,2500000,0,0,0,0,0
1578528,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-250000,2500000,0,0,0,0,0
1578530,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-250000,2500000,0,0,0,0,0
1578532,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-249968,2499739,0,448,-3471,0,0
1578534,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-249859,2499137,0,1360,-6861,0,0
1578536,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-249598,2498213,0,3107,-10000,0,0
1578538,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-249088,2497012,0,5830,-12644,0,0
1578540,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-248252,2495590,0,9264,-14681,0,0
1578542,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-247035,2494013,0,13148,-16093,0,0
1578544,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-245418,2492334,0,17182,-16985,0,0
1578546,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-243392,2490605,0,21298,-17343,0,0
1578548,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-240952,2488881,0,25426,-17162,0,0
1578550,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-238104,2487215,0,29495,-16443,0,0
1578552,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-234858,2485661,0,33435,-15199,0,0
1578554,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-231232,2484269,0,37179,-13452,0,0
1578556,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-227251,2483087,0,40664,-11232,0,0
1578558,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-222945,2482161,0,43828,-8576,0,0
1578560,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-218350,2481529,0,46620,-5529,0,0
1578562,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-213508,2481229,0,48989,-2144,0,0
1578564,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-208463,2481287,0,50897,1520,0,0
1578566,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-203264,2481729,0,52311,5403,0,0
1578568,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-197963,2482572,0,53205,9437,0,0
1578570,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-192612,2483824,0,53566,13553,0,0
1578572,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-187265,2485489,0,53387,17681,0,0
1578574,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-181974,2487563,0,52714,21758,0,0
1578576,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-176780,2490039,0,51662,25755,0,0
1578578,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-171712,2492909,0,50327,29667,0,0
1578580,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-166794,2496163,0,48778,33500,0,0
1578582,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-162044,2499796,0,47070,37264,0,0
1578584,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-157473,2503801,0,45242,40972,0,0
1578586,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-153092,2508173,0,43324,44634,0,0
1578588,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-148908,2512908,0,41339,48260,0,0
1578590,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-144927,2518004,0,39301,51857,0,0
1578592,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-141152,2523458,0,37225,55432,0,0
1578594,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-137588,2529268,0,35119,58989,0,0
1578596,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-134235,2535433,0,32991,62533,0,0
1578598,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-131097,2541951,0,30845,66067,0,0
1578600,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-128174,2548823,0,28687,69593,0,0
1578602,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-125468,2556046,0,26519,73113,0,0
1578604,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-122979,2563621,0,24343,76628,0,0
1578606,01a0b1c2-b010-7000-8000-000000000000,01a0d837-18af-7176-b619-ae2097259ffb,ACTIVE,0,-120709,2571547,0,22161,80139,0,0
